,type,episodes,status,aired,premiered,broadcast,studios,genres,duration,rating,score,popularity,members,favorites,watching,completed,on-hold,dropped,plan to watch,total,10,9,8,7,6,5,4,3,2,1
Vinland Saga - Statistics,TV,24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019",Summer 2019,Mondays at 00:10 (JST),Wit Studio,"['Action', 'Adventure', 'Drama', 'Historical', 'Seinen']",24 min. per ep.,R - 17+ (violence & profanity),8.71,122,801145,20563,91656,462520,24518,13204,209247,801145,104514,160174,103290,34282,8968,3514,1629,849,665,1072
Code Geass: Lelouch of the Rebellion,TV,25,Finished Airing,"Oct 6, 2006 to Jul 29, 2007",Fall 2006,Fridays at 01:25 (JST),Sunrise,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha', 'School']",24 min. per ep.,R - 17+ (violence & profanity),8.71,17,1719108,87498,77697,1302564,45151,33396,260300,1719108,349718,336095,233259,101295,34273,15752,7616,3344,1779,2831
Great Teacher Onizuka - Statistics,TV,43,Finished Airing,"Jun 30, 1999 to Sep 17, 2000",Summer 1999,Wednesdays at 19:30 (JST),Studio Pierrot,"['Slice of Life', 'Comedy', 'Drama', 'School', 'Shounen']",25 min. per ep.,R - 17+ (violence & profanity),8.7,193,630746,20207,48836,354137,35154,19083,173536,630746,91353,98780,75630,34465,10177,3881,1535,678,412,958
Princess Mononoke,Movie,1,Finished Airing,"Jul 12, 1997",,,Studio Ghibli,"['Action', 'Adventure', 'Fantasy']",2 hr. 13 min.,PG-13 - Teens 13 or older,8.7,98,944482,16049,12623,791159,3671,1498,135531,944482,195800,180660,142668,63271,18689,6106,1835,618,312,732
Haikyu!! 2nd Season,TV,25,Finished Airing,"Oct 4, 2015 to Mar 27, 2016",Fall 2015,Sundays at 02:58 (JST),Production I.G,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.69,89,1000061,13129,48819,848521,12529,5908,84284,1000061,169377,225270,182301,62947,13472,4184,1034,408,217,1033
Kaguya-sama: Love is War Season 2,TV,12,Finished Airing,"Apr 11, 2020 to Jun 27, 2020",Spring 2020,Saturdays at 23:30 (JST),A-1 Pictures,"['Comedy', 'Psychological', 'Romance', 'School', 'Seinen']",24 min. per ep.,PG-13 - Teens 13 or older,8.69,123,795010,15182,75739,561321,12038,5696,140216,795010,111170,181889,135469,42923,9565,3097,926,339,223,717
Mushi-Shi,TV,26,Finished Airing,"Oct 23, 2005 to Jun 19, 2006",Fall 2005,Sundays at 03:40 (JST),Artland,"['Adventure', 'Slice of Life', 'Mystery', 'Historical', 'Supernatural', 'Fantasy', 'Seinen']",25 min. per ep.,PG-13 - Teens 13 or older,8.69,172,658376,22426,58628,245112,44851,20933,288852,658376,68142,67248,54274,25434,9016,4230,1535,586,305,789
Rocky Joe 2,TV,47,Finished Airing,"Oct 13, 1980 to Aug 31, 1981",Fall 1980,Unknown,Tokyo Movie Shinsha,"['Action', 'Drama', 'Shounen', 'Slice of Life', 'Sports']",24 min. per ep.,PG-13 - Teens 13 or older,8.67,2947,33378,1559,1518,15541,715,805,14799,33378,4608,3100,2430,1200,463,189,79,113,109,669
Fighting Spirit: New Challenger,TV,26,Finished Airing,"Jan 7, 2009 to Jul 1, 2009",Winter 2009,Wednesdays at 01:29 (JST),Madhouse,"['Comedy', 'Sports', 'Drama', 'Shounen']",23 min. per ep.,PG-13 - Teens 13 or older,8.66,753,213243,1415,7466,164959,2898,1619,36301,213243,31623,43471,35213,12643,2694,847,262,91,57,465
Howl's Moving Castle,Movie,1,Finished Airing,"Nov 20, 2004",,,Studio Ghibli,"['Adventure', 'Drama', 'Fantasy', 'Romance']",1 hr. 59 min.,G - All Ages,8.66,100,935596,18012,9911,833589,2516,1010,88570,935596,206820,184183,152302,69320,20565,7173,2457,827,406,718
