,type,episodes,status,aired,premiered,broadcast,studios,genres,duration,rating,score,popularity,members,favorites,watching,completed,on-hold,dropped,plan to watch,total,10,9,8,7,6,5,4,3,2,1
Detective Conan Movie 08: Time Travel of the Silver Sky - Statistics,Special,1,Finished Airing,"Apr 30, 2004",,,TMS Entertainment,"['Adventure', 'Mystery']",25 min.,PG-13 - Teens 13 or older,7.82,4066,17459,5,285,14700,128,188,2158,17459,1367,1349,2566,2120,765,308,61,26,6,38
Detective Conan: Zero the Enforcer,Movie,1,Finished Airing,"Apr 13, 2018",,,TMS Entertainment,"['Action', 'Mystery', 'Police', 'Drama']",1 hr. 50 min.,PG-13 - Teens 13 or older,7.82,3803,20285,54,408,14996,145,156,4580,20285,1550,1876,3114,2465,967,418,113,45,18,41
Detective Conan Movie 23: The Fist of Blue Sapphire - Statistics,Movie,1,Finished Airing,"Apr 12, 2019",,,TMS Entertainment,"['Action', 'Mystery', 'Comedy', 'Police', 'Drama', 'Shounen']",1 hr. 49 min.,PG-13 - Teens 13 or older,7.82,3992,18087,45,379,12728,134,130,4716,18087,1309,1579,2733,2174,875,284,105,30,12,36
Ghost in the Shell 2: Innocence,Movie,1,Finished Airing,"Mar 6, 2004",,,Production I.G,"['Military', 'Sci-Fi', 'Police', 'Psychological', 'Mecha']",1 hr. 39 min.,R - 17+ (violence & profanity),7.82,1169,137164,794,1831,100175,1070,493,33595,137164,9843,15197,22685,17291,7013,2606,1172,358,188,145
Tenchi Muyo! War on Geminar,OVA,13,Finished Airing,"May 22, 2009 to May 26, 2010",,,"AIC Spirits,       BeSTACK","['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Mecha', 'School']",45 min. per ep.,R+ - Mild Nudity,7.82,972,165677,1624,10780,91412,4487,4966,54032,165677,9016,14071,20927,15485,6581,2830,1234,507,235,260
Haré+Guu Deluxe,OVA,6,Finished Airing,"Aug 25, 2002 to Jan 25, 2003",,,Shin-Ei Animation,"['Comedy', 'Slice of Life']",26 min. per ep.,PG-13 - Teens 13 or older,7.82,4849,11346,25,221,8599,228,193,2105,11346,753,1253,1994,1485,511,183,63,25,13,28
Last Exile - Statistics,TV,26,Finished Airing,"Apr 8, 2003 to Sep 30, 2003",Spring 2003,Tuesdays at 01:30 (JST),Gonzo,"['Action', 'Sci-Fi', 'Adventure']",24 min. per ep.,PG-13 - Teens 13 or older,7.82,1059,152979,1694,6107,78454,6673,5134,56611,152979,7132,12663,20400,15150,6046,2636,850,292,137,118
Lucky☆Star: Original na Visual to Animation - Statistics,OVA,1,Finished Airing,"Sep 26, 2008",,,Kyoto Animation,"['Comedy', 'Parody', 'School', 'Slice of Life']",42 min.,PG-13 - Teens 13 or older,7.82,1314,118432,190,1276,96810,779,537,19030,118432,9243,13858,20385,16331,6401,2680,799,301,186,187
Macross Frontier: The False Songstress,Movie,1,Finished Airing,"Nov 21, 2009",,,"Satelight,       8bit","['Action', 'Mecha', 'Military', 'Music', 'Romance', 'Sci-Fi', 'Space']",1 hr. 59 min.,PG-13 - Teens 13 or older,7.82,3258,27500,57,,,,,,,,,,,,,,,,
Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem - Statistics,OVA,1,Finished Airing,"Jul 24, 2009",,,Sunrise,"['Action', 'Military', 'Super Power', 'Mecha']",1 hr. 56 min.,R - 17+ (violence & profanity),7.81,2613,41419,74,910,27000,546,523,12440,41419,2736,2626,4149,3441,1375,661,164,90,64,112
Colorful The Motion Picture,Movie,1,Finished Airing,"Aug 21, 2010",,,"Sunrise,       Ascension","['Drama', 'Slice of Life', 'Supernatural']",2 hr. 7 min.,PG-13 - Teens 13 or older,7.81,1044,154580,988,,,,,,,,,,,,,,,,
Detective Conan Movie 09: Strategy Above the Depths - Statistics,Movie,1,Finished Airing,"Apr 9, 2005",,,TMS Entertainment,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",1 hr. 50 min.,PG-13 - Teens 13 or older,7.81,2665,39897,18,371,35925,190,196,3215,39897,3056,3902,7354,6024,2087,763,180,58,18,42
Detective Conan Movie 12: Full Score of Fear - Statistics,Movie,1,Finished Airing,"Apr 19, 2008",,,TMS Entertainment,"['Adventure', 'Police', 'Comedy', 'Mystery', 'Shounen']",1 hr. 56 min.,PG-13 - Teens 13 or older,7.81,2746,37970,17,365,33815,206,211,3373,37970,3084,3706,6769,5481,1964,796,225,72,32,44
Devilman: Crybaby - Statistics,ONA,10,Finished Airing,"Jan 5, 2018",,,Science SARU,"['Action', 'Dementia', 'Demons', 'Horror', 'Supernatural']",25 min. per ep.,R+ - Mild Nudity,7.81,139,755531,15365,33725,553173,15891,21681,131061,755531,68102,102899,126449,85933,38312,17408,11118,5079,3620,4045
Today's Menu for the Emiya Family,ONA,13,Finished Airing,"Jan 25, 2018 to Jan 1, 2019",,,ufotable,"['Slice of Life', 'Comedy']",13 min. per ep.,PG-13 - Teens 13 or older,7.81,1595,93403,484,12742,44614,4604,3125,28318,93403,5082,6328,13072,10659,3878,1453,341,137,75,84
Is the Order a Rabbit??,TV,12,Finished Airing,"Oct 10, 2015 to Dec 26, 2015",Fall 2015,Saturdays at 21:30 (JST),"Kinema Citrus,       White Fox","['Slice of Life', 'Comedy']",23 min. per ep.,PG-13 - Teens 13 or older,7.81,1440,104525,754,5523,60803,3188,2357,32654,104525,5932,7987,15473,11780,4317,1734,483,167,79,116
Haikyuu!!: Riku vs. Kuu - Statistics,OVA,2,Finished Airing,"Jan 22, 2020",,,Production I.G,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",22 min. per ep.,PG-13 - Teens 13 or older,7.81,867,188627,390,3454,152404,889,429,31451,188627,13935,15971,34857,31550,8857,2297,404,118,54,91
The Devil is a Part-Timer!,TV,13,Finished Airing,"Apr 4, 2013 to Jun 27, 2013",Spring 2013,Thursdays at 22:00 (JST),White Fox,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,7.81,63,1166391,9277,44678,916717,22302,17550,165144,1166391,63816,138616,248777,183806,59206,21148,6013,1921,779,733
Eden of The East,TV,11,Finished Airing,"Apr 10, 2009 to Jun 19, 2009",Spring 2009,Fridays at 00:45 (JST),Production I.G,"['Action', 'Sci-Fi', 'Mystery', 'Drama', 'Romance', 'Thriller']",23 min. per ep.,R - 17+ (violence & profanity),7.81,306,484390,3867,18604,282428,13603,9916,159839,484390,24341,47823,70217,51585,20626,8682,3162,1118,480,435
Toilet-bound Hanako-kun,TV,12,Finished Airing,"Jan 10, 2020 to Mar 27, 2020",Winter 2020,Fridays at 01:58 (JST),Lerche,"['Comedy', 'School', 'Shounen', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,7.81,431,351360,6884,39108,189004,14621,15492,93135,351360,22698,29090,49750,41085,15427,6107,2064,748,289,316
Junjo Romantica 2,TV,12,Finished Airing,"Oct 12, 2008 to Dec 28, 2008",Fall 2008,Unknown,Studio Deen,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",24 min. per ep.,PG-13 - Teens 13 or older,7.81,1043,154535,923,3879,134134,1671,1935,12916,154535,18433,17608,21301,18675,9170,4481,1844,880,556,554
Kokoro Connect - Statistics,TV,13,Finished Airing,"Jul 8, 2012 to Sep 30, 2012",Summer 2012,Sundays at 00:30 (JST),SILVER LINK.,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.81,163,678954,7119,30008,424031,18371,17714,188830,678954,33597,69884,115350,80587,29640,12151,4680,1691,798,779
The Kubikiri Cycle,OVA,8,Finished Airing,"Oct 26, 2016 to Sep 27, 2017",,,Shaft,"['Action', 'Mystery', 'Supernatural', 'Drama']",30 min. per ep.,R - 17+ (violence & profanity),7.81,1736,82342,661,7711,27899,3786,1987,40959,82342,2755,5040,8052,5528,2061,890,378,154,102,90
Lupin the 3rd: The First,Movie,1,Finished Airing,"Dec 6, 2019",,,"TMS Entertainment,       Marza Animation Planet","['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']",1 hr. 32 min.,PG-13 - Teens 13 or older,7.81,3976,18163,89,374,10177,128,94,7390,18163,800,1536,2923,2092,621,207,69,25,10,18
Mobile Suit Gundam Wing: Endless Waltz,Movie,1,Finished Airing,"Aug 1, 1998",,,Sunrise,"['Action', 'Space', 'Mecha', 'Military', 'Drama', 'Sci-Fi']",1 hr. 34 min.,PG-13 - Teens 13 or older,7.81,2339,51461,164,521,44525,282,224,5909,51461,4407,6173,9349,7338,2802,1181,391,159,65,70
The Seven Deadly Sins,TV,24,Finished Airing,"Oct 5, 2014 to Mar 29, 2015",Fall 2014,Sundays at 17:00 (JST),A-1 Pictures,"['Action', 'Adventure', 'Supernatural', 'Magic', 'Fantasy', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,7.81,25,1558812,17687,66824,1289949,24150,37540,140349,1558812,128216,208349,303801,218692,85338,39242,18682,8826,4811,5044
Saiyuuki Reload: Burial - Statistics,OVA,3,Finished Airing,"Apr 28, 2007 to Mar 28, 2008",,,Studio Pierrot,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Shoujo']",33 min. per ep.,PG-13 - Teens 13 or older,7.81,4815,11526,44,443,5828,301,207,4747,11526,630,789,1143,878,297,149,47,25,8,30
House of Five Leaves,TV,12,Finished Airing,"Apr 16, 2010 to Jul 2, 2010",Spring 2010,Fridays at 01:15 (JST),Manglobe,"['Mystery', 'Historical', 'Drama', 'Samurai', 'Seinen']",23 min. per ep.,PG-13 - Teens 13 or older,7.81,1852,74912,736,3968,26935,2853,1996,39160,74912,2259,4760,7904,5585,2033,861,261,94,33,56
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii - Statistics,Movie,1,Finished Airing,"Apr 15, 2017",,,Studio Gokumi,"['Drama', 'Fantasy', 'Magic', 'Slice of Life']",47 min.,PG-13 - Teens 13 or older,7.81,4799,11613,24,424,5741,189,157,5102,11613,789,757,1188,886,317,132,53,21,11,19
Zombie Land Saga Revenge,TV,12,Currently Airing,"Apr 8, 2021 to ?",Spring 2021,Thursdays at 23:30 (JST),MAPPA,"['Music', 'Comedy', 'Supernatural']",23 min. per ep.,R - 17+ (violence & profanity),7.81,1305,119203,451,50673,7,1294,1175,66054,119203,1591,2074,4222,3264,963,372,109,46,22,52
"Brother, Dear Brother",TV,39,Finished Airing,"Jul 14, 1991 to May 31, 1992",Summer 1991,Sundays at Unknown,Tezuka Productions,"['Psychological', 'Drama', 'School', 'Shoujo', 'Shoujo Ai']",25 min. per ep.,PG-13 - Teens 13 or older,7.8,3032,31843,632,2150,8071,1408,1051,19163,31843,1118,1464,1898,1439,712,342,148,85,52,70
Shiki Specials - Statistics,Special,2,Finished Airing,"May 25, 2011 to Jun 22, 2011",,,Daume,"['Mystery', 'Horror', 'Psychological', 'Supernatural', 'Thriller', 'Vampire']",23 min. per ep.,R - 17+ (violence & profanity),7.8,2102,61428,74,885,48497,525,276,11245,61428,3980,6941,11050,7944,3174,1246,382,168,108,82
Tamayura: Sotsugyou Shashin Part 3 - Akogare - Statistics,Movie,1,Finished Airing,"Nov 28, 2015",,,TYO Animations,"['Comedy', 'Drama', 'Slice of Life']",51 min.,G - All Ages,7.8,5672,7652,9,261,3201,149,110,3931,7652,306,460,774,546,175,92,22,12,2,9
Tentai Senshi Sunred - Statistics,TV,26,Finished Airing,"Oct 3, 2008 to Mar 28, 2009",Fall 2008,Unknown,AIC ASTA,"['Comedy', 'Parody', 'Super Power', 'Seinen']",13 min. per ep.,PG-13 - Teens 13 or older,7.8,3845,19771,188,1150,6526,1073,1120,9902,19771,672,1229,1913,1261,554,252,126,67,39,56
The Everlasting Guilty Crown - Statistics,Music,1,Finished Airing,"Mar 7, 2012",,,"None found, add some",['Music'],1 min.,G - All Ages,7.8,3113,29992,67,745,22905,271,372,5699,29992,3271,2238,3588,2858,1432,736,279,139,106,129
Tokyo Ghoul - Statistics,TV,12,Finished Airing,"Jul 4, 2014 to Sep 19, 2014",Summer 2014,Fridays at 00:00 (JST),Studio Pierrot,"['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']",24 min. per ep.,R - 17+ (violence & profanity),7.8,7,2109572,40535,82443,1773590,27346,43015,183178,2109572,209166,276978,391260,295662,125713,57355,27327,11288,5691,5278
Zan Sayonara Zetsubou Sensei Bangaichi - Statistics,OVA,2,Finished Airing,"Nov 17, 2009 to Feb 17, 2010",,,Shaft,"['Comedy', 'Parody', 'School', 'Shounen']",26 min. per ep.,R - 17+ (violence & profanity),7.8,2851,35452,39,775,20778,509,253,13137,35452,1593,2685,4689,3759,1276,423,103,45,15,36
Bleach - Statistics,TV,366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",Fall 2004,Tuesdays at 18:00 (JST),Studio Pierrot,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,7.8,37,1394200,47889,224534,688007,141767,184047,155845,1394200,123788,145636,208066,188551,87234,44703,17946,7122,3259,3107
Broken Blade 3,Movie,1,Finished Airing,"Sep 25, 2010",,,"Production I.G,       Xebec","['Action', 'Military', 'Fantasy', 'Mecha', 'Shounen']",47 min.,R - 17+ (violence & profanity),7.8,2241,55226,34,493,47178,288,198,7069,55226,2856,6259,12465,8532,2498,957,222,91,54,36
Bungo Stray Dogs,TV,12,Finished Airing,"Apr 7, 2016 to Jun 23, 2016",Spring 2016,Thursdays at 01:05 (JST),Bones,"['Action', 'Comedy', 'Mystery', 'Seinen', 'Super Power', 'Supernatural']",23 min. per ep.,R - 17+ (violence & profanity),7.8,104,900780,15911,66297,564808,29850,28636,211189,900780,49494,77853,148798,117731,37301,14405,4683,1608,659,576
Ginga Tetsudou 999 - Statistics,TV,113,Finished Airing,"Sep 14, 1978 to Apr 9, 1981",Fall 1978,Thursdays at 19:00 (JST),Toei Animation,"['Sci-Fi', 'Adventure', 'Space', 'Drama']",25 min. per ep.,G - All Ages,7.8,3300,27023,336,2319,5259,2204,1301,15940,27023,934,864,1365,1259,602,271,109,59,27,44
Haikyuu!! (OVA) - Statistics,OVA,10,Finished Airing,"Mar 4, 2020",,,"None found, add some","['Sports', 'Shounen']",2 min. per ep.,PG-13 - Teens 13 or older,7.8,3998,18059,36,517,9293,298,318,7633,18059,1303,890,1163,1119,477,208,60,33,20,54
How to Eat Life,Music,1,Finished Airing,"May 22, 2020",,,"None found, add some","['Music', 'Horror', 'Supernatural']",3 min.,R - 17+ (violence & profanity),7.8,9255,1884,18,29,1731,3,14,107,1884,257,230,343,259,106,59,17,6,2,7
Lupin III: Part II - Statistics,TV,155,Finished Airing,"Oct 3, 1977 to Oct 6, 1980",Fall 1977,Mondays at 19:00 (JST),Tokyo Movie Shinsha,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']",25 min. per ep.,R+ - Mild Nudity,7.8,3347,26255,244,3073,9980,2395,1022,9785,26255,1041,1558,3038,2369,794,261,55,38,13,35
Maria Watches Over Us Season 4,TV,13,Finished Airing,"Jan 3, 2009 to Mar 28, 2009",Winter 2009,Unknown,Studio Deen,"['School', 'Shoujo', 'Shoujo Ai', 'Slice of Life']",25 min. per ep.,PG-13 - Teens 13 or older,7.8,3911,18739,88,584,10933,397,416,6409,18739,1026,1587,2513,1827,767,296,99,38,23,50
Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma - Statistics,OVA,1,Finished Airing,"Sep 13, 2017",,,Madhouse,"['Fantasy', 'Romance', 'Shoujo']",26 min.,G - All Ages,7.79,2895,34398,540,759,23248,321,245,9825,34398,2436,3156,4401,3724,1500,566,159,46,25,29
Ghost Hunt - Statistics,TV,25,Finished Airing,"Oct 4, 2006 to Mar 28, 2007",Fall 2006,Unknown,J.C.Staff,"['Mystery', 'Comedy', 'Horror', 'Supernatural', 'Shoujo']",25 min. per ep.,PG-13 - Teens 13 or older,7.79,811,200735,2729,8361,110109,7265,7177,67823,200735,11510,16907,25530,20999,8926,4231,1429,525,209,242
Barefoot Gen,Movie,1,Finished Airing,"Jul 21, 1983",,,Madhouse,"['Drama', 'Historical']",1 hr. 23 min.,PG-13 - Teens 13 or older,7.79,2734,38176,107,745,18905,415,230,17881,38176,1818,2890,4727,3437,1232,564,206,98,32,31
Heartcatch Precure! - Statistics,TV,49,Finished Airing,"Feb 7, 2010 to Jan 30, 2011",Winter 2010,Sundays at 08:30 (JST),Toei Animation,"['Action', 'Slice of Life', 'Comedy', 'Magic', 'Fantasy', 'School', 'Shoujo']",24 min. per ep.,G - All Ages,7.79,3422,25127,482,2072,10985,1962,1479,8629,25127,1274,1886,2409,2002,956,529,171,85,35,49
Hidamari Sketch x SP - Statistics,Special,2,Finished Airing,"Oct 30, 2011 to Nov 6, 2011",,,Shaft,"['Slice of Life', 'Comedy', 'School', 'Seinen']",24 min. per ep.,PG-13 - Teens 13 or older,7.79,4627,12647,10,251,8736,166,137,3357,12647,628,1092,2166,1435,501,161,58,25,16,23
Hozuki's Coolheadedness,TV,13,Finished Airing,"Jan 10, 2014 to Apr 4, 2014",Winter 2014,Fridays at 01:35 (JST),Wit Studio,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']",24 min. per ep.,PG-13 - Teens 13 or older,7.79,1396,109328,1039,7346,46996,4916,6012,44058,109328,4036,6824,12009,9653,3511,1656,608,212,149,112
Ie Naki Ko - Statistics,TV,51,Finished Airing,"Oct 2, 1977 to Oct 1, 1978",Fall 1977,Unknown,"Madhouse,       TMS Entertainment","['Adventure', 'Drama', 'Historical', 'Kids', 'Slice of Life']",24 min. per ep.,G - All Ages,7.79,4880,11159,176,491,4397,466,380,5425,11159,598,603,916,813,366,152,58,22,16,22
InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,1,Finished Airing,"Dec 20, 2003",,,Sunrise,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']",1 hr. 38 min.,PG-13 - Teens 13 or older,7.79,1711,84377,165,1009,71063,528,311,11466,84377,6986,7888,12430,11815,4551,1736,401,163,61,68
Kyou kara Maou! 3rd Series - Statistics,TV,39,Finished Airing,"Apr 3, 2008 to Feb 19, 2009",Spring 2008,Unknown,Studio Deen,"['Adventure', 'Comedy', 'Demons', 'Fantasy', 'Shoujo']",24 min. per ep.,PG-13 - Teens 13 or older,7.79,3144,29317,147,2035,15831,1644,946,8861,29317,1810,2199,3365,2934,1175,505,134,60,31,45
Love Live! School Idol Project 2,TV,13,Finished Airing,"Apr 6, 2014 to Jun 29, 2014",Spring 2014,Sundays at 22:30 (JST),Sunrise,"['Music', 'Slice of Life', 'School']",23 min. per ep.,PG-13 - Teens 13 or older,7.79,750,214527,2551,8143,162743,4610,3903,35128,214527,18496,22323,35255,28776,11993,5351,1906,779,366,440
The Legend of Luoxiaohei,ONA,28,Finished Airing,"Mar 17, 2011 to Aug 27, 2019",,,"None found, add some","['Comedy', 'Supernatural']",7 min. per ep.,PG - Children,7.79,8107,2963,26,778,189,204,164,1628,2963,125,123,164,110,33,27,6,10,6,33
Lupin III vs. Detective Conan - Statistics,Special,1,Finished Airing,"Mar 27, 2009",,,TMS Entertainment,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Shounen']",1 hr. 45 min.,PG-13 - Teens 13 or older,7.79,3217,28351,31,416,21757,243,225,5710,28351,2113,2613,4613,3728,1398,529,174,77,34,44
Magic Kaito - Statistics,Special,12,Finished Airing,"Apr 17, 2010 to Dec 29, 2012",,,TMS Entertainment,"['Adventure', 'Comedy', 'Romance', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,7.79,2158,59093,279,5265,32699,2966,1968,16195,59093,3608,4542,8102,6599,2486,837,278,119,43,50
Mind Game - Statistics,Movie,1,Finished Airing,"Aug 7, 2004",,,Studio 4°C,"['Adventure', 'Comedy', 'Dementia', 'Psychological', 'Romance']",1 hr. 43 min.,R - 17+ (violence & profanity),7.79,2050,63578,799,1316,30611,675,498,30478,63578,3885,5030,6749,4909,2212,990,610,238,156,205
Saekano: How to Raise a Boring Girlfriend .flat,TV,11,Finished Airing,"Apr 14, 2017 to Jun 23, 2017",Spring 2017,Fridays at 00:55 (JST),A-1 Pictures,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'School']",22 min. per ep.,PG-13 - Teens 13 or older,7.79,599,265106,1395,15902,169067,6458,4863,68816,265106,12795,23552,47461,33211,11000,3967,1482,541,247,299
Tiger & Bunny: The Rising,Movie,1,Finished Airing,"Feb 8, 2014",,,Sunrise,"['Action', 'Mystery', 'Comedy', 'Super Power']",1 hr. 40 min.,PG-13 - Teens 13 or older,7.79,3454,24607,55,414,13531,216,161,10285,24607,917,1821,3298,2316,780,288,124,31,14,33
Toshokan Sensou: Kakumei no Tsubasa - Statistics,Movie,1,Finished Airing,"Jun 16, 2012",,,Production I.G,"['Action', 'Comedy', 'Military', 'Romance']",1 hr. 45 min.,PG-13 - Teens 13 or older,7.79,3771,20633,42,653,9799,292,237,9652,20633,768,1436,2470,1788,597,247,68,39,11,18
Initial D Legend 2 Racer,Movie,1,Finished Airing,"May 23, 2015",,,"SANZIGEN,       LIDENFILMS","['Cars', 'Seinen', 'Sports']",1 hr.,PG-13 - Teens 13 or older,7.78,3804,20283,31,386,14161,157,174,5405,20283,1263,1442,3163,2591,804,266,69,75,11,41
Seitokai Yakuindomo OVA - Statistics,OVA,8,Finished Airing,"Apr 15, 2011 to Oct 17, 2013",,,GoHands,"['Comedy', 'School', 'Shounen', 'Slice of Life']",26 min. per ep.,R - 17+ (violence & profanity),7.78,1377,111177,103,10597,72720,5234,1787,20839,111177,5717,10256,20553,15502,4858,1656,472,154,80,81
Shaman King - Statistics,TV,64,Finished Airing,"Jul 4, 2001 to Sep 25, 2002",Summer 2001,Wednesdays at 18:30 (JST),Xebec,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']",23 min. per ep.,PG-13 - Teens 13 or older,7.78,500,310150,3312,13360,218488,12198,13746,52358,310150,23002,28016,47954,43304,17622,7202,2104,812,357,266
Attack on Titan: Wings of Freedom,Movie,1,Finished Airing,"Jun 27, 2015",,,Wit Studio,"['Action', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",2 hr.,R - 17+ (violence & profanity),7.78,1647,88835,148,1829,54191,953,1077,30785,88835,5992,4931,8684,8222,2989,1277,329,145,85,233
Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou - Statistics,Movie,1,Finished Airing,"Jan 13, 2018",,,Wit Studio,"['Action', 'Drama', 'Fantasy', 'Shounen', 'Super Power']",2 hr.,R - 17+ (violence & profanity),7.78,2450,47197,64,1213,20689,630,596,24069,47197,2008,1698,3722,3084,958,396,98,45,27,82
Attack on Titan: Lost Girls,OVA,3,Finished Airing,"Dec 8, 2017 to Aug 9, 2018",,,Wit Studio,"['Action', 'Horror', 'Supernatural', 'Drama', 'Fantasy']",25 min. per ep.,R - 17+ (violence & profanity),7.78,770,209495,403,12475,132099,4267,1382,59272,209495,13245,14671,30897,27781,8379,2472,590,232,82,210
Shirobako Movie - Statistics,Movie,1,Finished Airing,"Feb 29, 2020",,,P.A. Works,"['Comedy', 'Drama']",2 hr.,PG-13 - Teens 13 or older,7.78,2905,34148,36,832,4272,512,98,28434,34148,395,561,1226,901,279,95,23,9,2,5
The Disappearance of Conan Edogawa: The Worst Two Days in History - Statistics,Special,1,Finished Airing,"Dec 26, 2014",,,TMS Entertainment,"['Adventure', 'Police', 'Comedy', 'Mystery', 'Shounen']",1 hr. 31 min.,PG-13 - Teens 13 or older,7.78,5010,10401,10,209,7873,73,139,2107,10401,721,910,1636,1344,471,162,47,16,12,25
Yuru Yuri Nachuyachumi!+ - Statistics,Special,2,Finished Airing,"Aug 21, 2015 to Sep 18, 2015",,,TYO Animations,"['Slice of Life', 'Comedy', 'Shoujo Ai']",24 min. per ep.,PG-13 - Teens 13 or older,7.78,2473,46218,83,969,34242,433,234,10340,46218,2739,3882,8287,6609,1938,669,166,71,44,60
BanG Dream! Garupa☆Pico - Statistics,TV,26,Finished Airing,"Jul 5, 2018 to Dec 27, 2018",Summer 2018,Thursdays at 23:00 (JST),"SANZIGEN,       DMM.futureworks","['Music', 'Comedy']",3 min. per ep.,PG-13 - Teens 13 or older,7.78,4203,16232,126,1084,10658,355,378,3757,16232,1317,1258,2487,2071,757,322,100,48,24,41
Digimon: Digital Monsters,TV,54,Finished Airing,"Mar 7, 1999 to Mar 26, 2000",Spring 1999,Sundays at 09:00 (JST),Toei Animation,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",24 min. per ep.,PG - Children,7.78,448,340713,4461,9172,296855,7429,8682,18575,340713,32658,36119,59799,56124,23158,9713,2361,841,393,376
Is the order a rabbit?? Dear My Sister,Movie,1,Finished Airing,"Nov 11, 2017",,,production doA,"['Slice of Life', 'Comedy']",59 min.,PG-13 - Teens 13 or older,7.78,3039,31610,100,926,15987,340,192,14165,31610,1667,1743,4020,3261,1103,322,97,42,16,25
Jin-Roh: The Wolf Brigade,Movie,1,Finished Airing,"Jun 3, 2000",,,Production I.G,"['Military', 'Police', 'Psychological', 'Drama', 'Romance']",1 hr. 42 min.,R - 17+ (violence & profanity),7.78,1218,132006,1325,,,,,,,,,,,,,,,,
Lupin the Third: The Woman Called Fujiko Mine,TV,13,Finished Airing,"Apr 5, 2012 to Jun 28, 2012",Spring 2012,Thursdays at 01:29 (JST),TMS Entertainment,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Samurai', 'Seinen']",23 min. per ep.,R+ - Mild Nudity,7.78,2374,50142,363,3360,22576,2389,1719,20098,50142,1828,3873,6524,4481,1633,652,281,122,50,76
Mobile Suit Gundam SEED - Statistics,TV,50,Finished Airing,"Oct 5, 2002 to Sep 27, 2003",Fall 2002,Saturdays at 18:00 (JST),Sunrise,"['Action', 'Drama', 'Mecha', 'Military', 'Romance', 'Sci-Fi', 'Space']",24 min. per ep.,R - 17+ (violence & profanity),7.78,1123,144139,3185,5112,104415,4698,5121,24793,144139,11499,16110,23054,18254,7836,3808,1768,780,393,415
Aggressive Retsuko (ONA) 2nd Season - Statistics,ONA,10,Finished Airing,"Jun 14, 2019",,,Fanworks,"['Comedy', 'Slice of Life']",15 min. per ep.,PG-13 - Teens 13 or older,7.77,1824,76635,187,1829,65720,792,455,7839,76635,3338,9153,19070,14032,3898,1114,251,82,27,32
Snow White with the Red Hair,TV,12,Finished Airing,"Jul 7, 2015 to Sep 22, 2015",Summer 2015,Tuesdays at 00:00 (JST),Bones,"['Fantasy', 'Romance', 'Drama', 'Shoujo']",24 min. per ep.,PG-13 - Teens 13 or older,7.77,283,502228,5498,28327,315883,17771,18768,121479,502228,29490,42618,75810,62929,23955,10120,2749,968,457,369
City Hunter '91 - Statistics,TV,13,Finished Airing,"Apr 28, 1991 to Oct 10, 1991",Spring 1991,Unknown,Sunrise,"['Action', 'Comedy', 'Mystery', 'Shounen']",23 min. per ep.,PG-13 - Teens 13 or older,7.77,4251,15897,34,488,9050,309,276,5774,15897,905,1006,2035,1712,604,200,78,18,3,24
Claymore - Statistics,TV,26,Finished Airing,"Apr 4, 2007 to Sep 26, 2007",Spring 2007,Unknown,Madhouse,"['Action', 'Adventure', 'Super Power', 'Demons', 'Supernatural', 'Fantasy', 'Shounen']",23 min. per ep.,R+ - Mild Nudity,7.77,231,565792,7274,23673,341697,20459,20616,159347,565792,29982,53672,85251,68402,27753,11238,4394,1412,706,573
